"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"92","ATAD2","29028",0.60106166323534,0.646426236383451,0.146299513466192,0.225157076425905,0.902146892655368,0.391304347826087,0.88008800880088,0.398519555684013,1,54.2863592836314
"93","STARD13","90627",0,0,0.53998095195785,0.766602800772218,0.925441112559757,0.565217391304348,0.022002200220022,0.999980252068677,1,54.036245100955
"94","H1-2","3006",0.606166217660362,0.384387414621872,0.34593174698404,0.0731919179304466,0.650430247718383,0.695652173913043,0.154015401540154,1,1,53.7157120768698
"95","FABP6","2172",0.584968338446629,0.430460453864219,0.308433471521633,0.0951691325467536,0.620530204259018,0.695652173913043,0.022002200220022,0.999995019557566,1,52.8836213095451
"96","IGSF9","57549",0.643592265339901,0.423307931932625,0.240534494076384,0.0916011857908926,0.694237288135593,0.565217391304348,0,0.999983635721274,1,52.5894217357995
"97","MAD2L1","4085",0.624006049680232,0.764391692065932,0.106670837585741,0.313386193931982,0.988717948717949,0.0869565217391304,0.946094609460946,0.141033818903801,1,52.5447120153084
"98","LYVE1","10894",0,0,0.466692131167972,1,0.925441112559757,0.391304347826087,0.044004400440044,0.860189401373643,1,52.5386872141804
"99","SLC2A1","6513",0.623851403799357,0.566193414453259,0.368469382258281,0.171784176174344,0.541607996523251,0.391304347826087,0.286028602860286,0.999967470386707,1,52.5292427735541
"100","RGS11","8786",0,0,0.355290207008285,1,0.901799217731421,0.391304347826087,0.044004400440044,0.999995576070012,1,52.1270879746611
"101","KRT16","3868",0.524090746909245,0.28312017700786,0.219488426084323,0.0327180421335316,0.792281616688397,0.695652173913043,0.198019801980198,1,1,52.1149483801188
"102","KLHL13","90293",0,0,1,0.412541657651352,0.756123424598001,0.565217391304348,0.022002200220022,0.973896457139255,1,51.660548251481
"103","TSHZ1","10194",0,0,0.885762291550045,0.271779395803713,0.734567579313342,0.826086956521739,0.022002200220022,0.99999541603245,1,51.5608560737574
"104","RAB3IP","117177",0.497929977648508,0.502424666781275,0.0878339895221315,0.133545203095289,0.900756192959583,0.304347826086956,0.022002200220022,0.999998585297511,1,51.3948055592963
"105","PARM1","25849",0,0,0.691137595049706,0.361320351036746,0.820095610604085,0.695652173913043,0,1,1,50.3792336520756
"106","ZBTB4","57659",0,0,0.862624653794057,0.350685072951276,0.794019991308127,0.565217391304348,0.022002200220022,1,1,50.2887318434188
